file,start,end,kind,name,params,body_lines,complexity,callees
../../PastScreen/Components/LiquidGlassComponents.swift,22,34,func,"GlassContainerStyle.body",1,11,3,"RoundedRectangle;background;clipShape;opacity;overlay;shadow;strokeBorder"
../../PastScreen/Components/LiquidGlassComponents.swift,52,68,func,"View.glassContainer",5,9,1,"GlassContainerStyle;modifier"
../../PastScreen/Components/LiquidGlassComponents.swift,90,94,init,"GlassButton.init",3,3,1,""
../../PastScreen/Components/LiquidGlassComponents.swift,130,133,init,"VibrancyText.init",2,2,1,""
../../PastScreen/Components/LiquidGlassComponents.swift,147,149,init,"GlassCard.init",1,1,1,"content"
../../PastScreen/Components/LiquidGlassComponents.swift,164,170,func,"BlurOverlay.makeNSView",1,5,1,"NSVisualEffectView"
../../PastScreen/Components/LiquidGlassComponents.swift,172,175,func,"BlurOverlay.updateNSView",2,2,1,""
../../PastScreen/Models/AppSettings.swift,60,62,func,"HotKey.normalizedModifiers",1,1,1,"intersection"
../../PastScreen/Models/AppSettings.swift,64,78,func,"HotKey.displayKey",2,13,4,"NSLocalizedString;String;uppercased"
../../PastScreen/Models/AppSettings.swift,132,134,init,"RGBAColor.init",4,1,1,""
../../PastScreen/Models/AppSettings.swift,136,142,init,"RGBAColor.init",1,5,1,"Double;usingColorSpace"
../../PastScreen/Models/AppSettings.swift,144,147,init,"RGBAColor.init",1,2,2,"NSColor;init;usingColorSpace"
../../PastScreen/Models/AppSettings.swift,230,232,didSet,"AppSettings.saveToFile.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,236,239,didSet,"AppSettings.saveFolderPath.didSet",0,2,1,"ensureFolderExists;set"
../../PastScreen/Models/AppSettings.swift,243,245,didSet,"AppSettings.imageFormat.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,249,251,didSet,"AppSettings.windowBorderEnabled.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,255,257,didSet,"AppSettings.windowBorderWidth.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,261,263,didSet,"AppSettings.windowBorderCornerRadius.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,267,271,didSet,"AppSettings.windowBorderColor.didSet",0,3,2,"JSONEncoder;encode;set"
../../PastScreen/Models/AppSettings.swift,275,282,didSet,"AppSettings.frozenWindowLimitPerDisplay.didSet",0,6,2,"max;set"
../../PastScreen/Models/AppSettings.swift,286,288,didSet,"AppSettings.playSoundOnCapture.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,292,294,didSet,"AppSettings.captureClipboardFormat.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,298,300,didSet,"AppSettings.globalHotkeyEnabled.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,304,308,didSet,"AppSettings.globalHotkey.didSet",0,3,2,"JSONEncoder;encode;set"
../../PastScreen/Models/AppSettings.swift,312,316,didSet,"AppSettings.advancedHotkey.didSet",0,3,2,"JSONEncoder;encode;set"
../../PastScreen/Models/AppSettings.swift,320,322,didSet,"AppSettings.advancedHotkeyEnabled.didSet",0,1,1,"set"
../../PastScreen/Models/AppSettings.swift,326,335,didSet,"AppSettings.editingToolOrder.didSet",0,8,3,"map;normalizeToolOrder;set"
